fecha,usuarios sin suministro edesur,usuarios sin suministro edenor
2015-12-3009:38:32,15050,6076
2015-12-3010:00:08,15050,6076
2015-12-3010:30:04,16802,3300
2015-12-3011:00:07,16802,3300
2015-12-3012:10:04,16802,3300
2015-12-3013:10:04,16802,3300
2015-12-3014:10:04,16802,3300
2015-12-3015:10:04,16802,3300
2015-12-3016:10:04,16802,3300
2015-12-3017:10:04,16802,3300
2015-12-3018:10:04,16802,3300
2015-12-3019:10:04,16802,3300
2015-12-3020:10:04,16802,3300
2015-12-3021:10:04,16802,3300
2015-12-3022:10:04,16802,3300
2015-12-3023:10:04,16802,3300
2015-12-3100:10:03,16802,3300
2015-12-3101:10:04,16802,3300
2015-12-3102:10:04,16802,3300
2015-12-3103:10:04,16802,3300
2015-12-3104:10:04,16802,3300
2015-12-3105:10:03,16802,3300
2015-12-3106:10:04,16802,3300
2015-12-3107:10:04,16802,3300
2015-12-3108:10:04,16802,3300
2015-12-3109:10:04,16802,3300
2015-12-3113:09:45,16802,3300
2015-12-3113:22:42,15278,1836
2015-12-3114:42:28,15016,1682
2015-12-3114:43:37,15016,1682
2015-12-3114:44:44,15016,1682
2016-01-0116:05:42,14339,7094
2016-01-0116:10:04,14339,7094
2016-01-0117:10:04,7412,1887
2016-01-0118:10:07,4422,4494
2016-01-0119:10:08,3818,4494
2016-01-0120:10:05,2870,13848
2016-01-0121:10:03,2870,767
2016-01-0122:10:04,1393,2165
2016-01-0123:10:04,1393,3165
2016-01-0200:10:04,1393,2770
2016-01-0201:10:04,1393,2770
2016-01-0202:10:04,2385,2292
2016-01-0203:10:06,2177,716
2016-01-0204:10:04,2177,529
2016-01-0205:10:05,8940,3779
2016-01-0206:10:04,7496,7429
2016-01-0207:10:03,4979,1698
2016-01-0208:10:04,5931,625
2016-01-0209:10:03,5424,545
2016-01-0210:10:04,4203,603
2016-01-0211:10:04,3603,1555
2016-01-0212:10:03,3603,603
2016-01-0213:10:05,3603,603
2016-01-0214:10:04,3603,772
2016-01-0215:10:05,5759,195
2016-01-0216:10:04,13683,256
2016-01-0217:10:04,12751,2349
2016-01-0218:10:04,10453,195
2016-01-0219:10:03,2377,0
2016-01-0220:10:03,985,0
2016-01-0221:10:04,201,0
2016-01-0222:10:04,201,0
2016-01-0223:10:06,8985,0
2016-01-0300:10:04,14649,4886
2016-01-0301:10:05,14649,4886
2016-01-0302:10:05,7290,307
2016-01-0303:10:04,1916,11937
2016-01-0304:10:05,0,3746
2016-01-0305:10:04,0,307
2016-01-0306:10:04,0,307
2016-01-0307:10:05,0,374
2016-01-0308:10:04,0,541
2016-01-0309:10:05,0,307
2016-01-0310:10:03,0,2418
2016-01-0311:10:04,0,2208
2016-01-0312:10:04,0,574
2016-01-0313:10:05,0,1145
2016-01-0314:10:04,0,1063
2016-01-0315:10:04,0,1063
2016-01-0316:10:04,0,1063
2016-01-0317:10:04,0,1063
2016-01-0318:10:06,0,492
2016-01-0319:10:05,0,4691
2016-01-0320:10:03,2828,3827
2016-01-0321:10:03,588,1489
2016-01-0322:10:04,0,1489
2016-01-0323:10:05,5050,1884
2016-01-0400:10:04,5050,1884
2016-01-0401:10:03,5050,1884
2016-01-0402:10:03,2729,0
2016-01-0403:10:04,4626,0
2016-01-0404:10:04,0,0
2016-01-0405:10:05,0,0
2016-01-0406:10:04,0,0
2016-01-0407:10:04,0,4747
2016-01-0408:10:04,0,2655
2016-01-0409:10:03,2340,0
2016-01-0410:10:05,9420,585
2016-01-0411:10:04,3343,4484
2016-01-0412:10:03,745,2962
2016-01-0413:10:05,2614,2284
2016-01-0414:10:04,2613,5519
2016-01-0415:10:04,5780,1986
2016-01-0416:10:04,5928,1676
2016-01-0417:10:05,14951,1397
2016-01-0418:10:04,15057,300
2016-01-0419:10:04,11758,8693
2016-01-0420:10:04,11639,5140
2016-01-0421:10:04,17965,2535
2016-01-0422:10:04,20867,515
2016-01-0423:10:04,15221,0
2016-01-0500:10:04,14372,0
2016-01-0501:10:12,14372,0
2016-01-0502:10:03,1691,697
2016-01-0503:10:05,930,329
2016-01-0504:10:04,10159,6573
2016-01-0505:10:04,11080,6573
2016-01-0506:10:05,17424,480
2016-01-0507:10:04,20290,4910
2016-01-0508:10:03,6515,3082
2016-01-0509:10:04,6515,1663
2016-01-0510:10:03,4013,566
2016-01-0511:10:04,10923,594
2016-01-0512:10:04,10923,2424
2016-01-0513:10:03,19287,6175
2016-01-0514:10:03,10997,4832
2016-01-0515:10:04,10459,1943
2016-01-0516:10:04,12296,2243
2016-01-0517:10:04,10128,7849
2016-01-0518:10:04,22443,6758
2016-01-0519:10:04,19685,7602
2016-01-0520:10:04,14626,5788
2016-01-0521:10:04,5072,1789
2016-01-0522:10:04,2100,366
2016-01-0523:10:04,6194,366
2016-01-0600:10:04,2036,0
2016-01-0601:10:04,2036,0
2016-01-0602:10:04,3486,0
2016-01-0603:10:03,3277,0
2016-01-0604:10:05,2273,0
2016-01-0605:10:04,20,0
2016-01-0606:10:04,20,207
2016-01-0607:10:04,2652,207
2016-01-0608:10:04,4707,207
2016-01-0609:10:03,20,4294
2016-01-0610:10:04,20,4656
2016-01-0611:10:06,20,584
2016-01-0612:10:05,20,584
2016-01-0613:10:03,20,8804
2016-01-0614:10:04,20,2955
2016-01-0615:10:04,211,5752
2016-01-0616:10:04,211,6606
2016-01-0617:10:04,20,11789
2016-01-0618:10:03,20,12149
2016-01-0619:10:04,20,11724
2016-01-0620:10:04,20,5936
2016-01-0621:10:03,20,5731
2016-01-0622:10:04,20,2866
2016-01-0623:10:05,20,2672
2016-01-0700:10:06,20,0
2016-01-0701:10:07,20,0
2016-01-0702:10:03,20,1282
2016-01-0703:10:03,20,2396
2016-01-0704:10:04,20,0
2016-01-0705:10:03,20,0
2016-01-0706:10:04,20,0
2016-01-0707:10:04,20,0
2016-01-0708:10:05,20,0
2016-01-0709:10:05,20,3
2016-01-0710:10:05,20,235
2016-01-0711:10:04,5152,235
2016-01-0712:10:04,20,216
2016-01-0713:10:04,931,11
2016-01-0714:10:04,5938,11
2016-01-0715:10:04,7423,9
2016-01-0716:10:04,7289,29
2016-01-0717:10:05,3144,29
