"id","fecha_delito","descripcion","comentario","lat","lng","tiny"
"1","2014-7-8 10:20:00","Hurto/Robo","robaron el estero de un auto, pasÃ© de dejar los chicos al jardÃ­n y vi un auto con la ventanilla rota. se avisÃ³ al 911.","-34.624070673877604","-58.4302282333374","http://tinyurl.com/q4mayrg"
"2","2014-5-2 13:00:00","Hurto/Robo","Intento de robo, me rompieron el vidrio del auto para robarlo pero al haber movimiento no pudieron lograr el robo. cambio de vidrio!.","-34.62512128668218","-58.42854380607604","http://tinyurl.com/mm7ytoy"
"3","2014-4-1 17:45:00","Hurto/Robo","Intento de robo esperando colectivo frente a parque rivadavÃ­a por la tarde. 1 pibe y 1 piba medios dados vuelta. huimos y no pasÃ³ nada.","-34.61713982755189","-58.43402624130248","http://tinyurl.com/lh798a2"
"4","2014-7-11 13:00:00","Hurto/Robo","Robo en un local de telefonia movial, con lesiones, me pegaron, me ataron y se fueron corriendo. Muy violentos y agresivos.","-34.64154090071452","-58.563952445983894","http://tinyurl.com/n6334v4"
"5","2014-7-13 21:30:00","Chicos Perdidos","+INFO: http://www.telefenoticias.com.ar/es/news/sociedad/20140714/nino-anos-extravio-obelisco-despues-los-festejos-del-domingo/28781.shtml","-34.603788591915404","-58.38163733482361","http://tinyurl.com/lmcyf6t"
"6","2014-7-13 22:00:00","Hurto/Robo","Rotura vidriera intento robo Moka Cafe","-34.6051621","-58.3822544","http://tinyurl.com/pzw4mqb"
"8","2014-7-13 22:00:00","Hurto/Robo","La nueva Seguros - intento robo y rotura vidrieras","-34.603572234772464","-58.38228642940521","http://tinyurl.com/opdxv49"
"9","2014-7-13 22:00:00","Hurto/Robo","Roturas del lugar intento robo - banco santander rio","-34.60389897799566","-58.38264048099517","http://tinyurl.com/qarmy5f"
"10","2014-7-13 22:00:00","Hurto/Robo","Equus - rotura de vidriera","-34.60389456255527","-58.385757207870476","http://tinyurl.com/l9gkuvb"
"12","2014-7-13 22:00:00","Hurto/Robo","Capiatti pizza - rotura de vidrieras","-34.604106503429314","-58.38509202003478","http://tinyurl.com/kluj3b2"
"13","2014-7-13 22:00:00","Hurto/Robo","teatro broadway - rotura de vidrieras","-34.6036208047924","-58.383042812347405","http://tinyurl.com/kw73h4n"
"14","2014-7-13 22:00:00","Hurto/Robo","cafeteria - rotura de vidrieras","-34.603744437442224","-58.38375091552735","http://tinyurl.com/kzgd9o6"
"15","2014-7-13 22:00:00","Hurto/Robo","ZapaterÃ­a Avedik - rotura de vidriera robo de mercaderia","-34.60384157725224","-58.383783102035515","http://tinyurl.com/lcuqoz7"
"16","2014-7-13 22:00:00","Hurto/Robo","Arcor center - Rotura de vidriera y robo de mercaderÃ­a.","-34.60384157725224","-58.38564991950989","http://tinyurl.com/mrv9xwh"
